author,year,sample_size,population,n_exposures
Vosa U,2018,18357,European,4
Vosa U,2018,24290,European,4
Vosa U,2018,24754,European,4
Vosa U,2018,30043,European,4
Vosa U,2018,12181,European,4
Vosa U,2018,13438,European,4
Vosa U,2018,16801,European,4
Vosa U,2018,30819,European,4
Vosa U,2018,21015,European,4
Vosa U,2018,25277,European,4
Vosa U,2018,8025,European,4
Vosa U,2018,13629,European,4
Vosa U,2018,15764,European,4
Vosa U,2018,25182,European,4
Vosa U,2018,12519,European,4
Vosa U,2018,23929,European,4
Vosa U,2018,30712,European,4
Vosa U,2018,20613,European,4
Vosa U,2018,25897,European,4
Vosa U,2018,24651,European,4
Vosa U,2018,29285,European,4
Vosa U,2018,19497,European,4
Vosa U,2018,8554,European,4
Vosa U,2018,30213,European,4
Vosa U,2018,21335,European,4
Vosa U,2018,18548,European,3
Vosa U,2018,16686,European,3
Vosa U,2018,22585,European,3
Vosa U,2018,26271,European,3
Vosa U,2018,10988,European,3
Vosa U,2018,24842,European,3
Vosa U,2018,21353,European,3
Vosa U,2018,18578,European,3
Vosa U,2018,22879,European,3
Vosa U,2018,9605,European,3
Vosa U,2018,27954,European,3
Vosa U,2018,25056,European,3
Vosa U,2018,22510,European,3
Vosa U,2018,29829,European,3
Vosa U,2018,21546,European,3
Vosa U,2018,16877,European,3
Vosa U,2018,18695,European,3
Vosa U,2018,18865,European,3
Vosa U,2018,19039,European,3
Vosa U,2018,9752,European,3
Vosa U,2018,18531,European,3
Vosa U,2018,19958,European,3
Vosa U,2018,31136,European,3
Vosa U,2018,24718,European,3
Vosa U,2018,29048,European,3
Vosa U,2018,29512,European,3
Vosa U,2018,24844,European,3
Vosa U,2018,25570,European,3
Vosa U,2018,23944,European,3
Vosa U,2018,30381,European,3
Vosa U,2018,12836,European,3
Vosa U,2018,29579,European,3
Vosa U,2018,31493,European,3
Vosa U,2018,24513,European,3
Vosa U,2018,30624,European,3
Vosa U,2018,20372,European,3
Vosa U,2018,25975,European,3
Vosa U,2018,8850,European,3
Vosa U,2018,30681,European,3
Vosa U,2018,31046,European,3
Vosa U,2018,17431,European,2
Vosa U,2018,21252,European,2
Vosa U,2018,16562,European,2
Vosa U,2018,25276,European,2
Vosa U,2018,24848,European,2
Vosa U,2018,24939,European,2
Vosa U,2018,10102,European,2
Vosa U,2018,27660,European,2
Vosa U,2018,16589,European,2
Vosa U,2018,26936,European,2
Vosa U,2018,5088,European,2
Vosa U,2018,21443,European,2
Vosa U,2018,19450,European,2
Vosa U,2018,23076,European,2
Vosa U,2018,16683,European,2
Vosa U,2018,17191,European,2
Vosa U,2018,19056,European,2
Vosa U,2018,29004,European,2
Vosa U,2018,24924,European,2
Vosa U,2018,22272,European,2
Vosa U,2018,24628,European,2
Vosa U,2018,28069,European,2
Vosa U,2018,19377,European,2
Vosa U,2018,24878,European,2
Vosa U,2018,24120,European,2
Vosa U,2018,15735,European,2
Vosa U,2018,21997,European,2
Vosa U,2018,22518,European,2
Vosa U,2018,13503,European,2
Vosa U,2018,19203,European,2
Vosa U,2018,21408,European,2
Vosa U,2018,5279,European,2
Vosa U,2018,12170,European,2
Vosa U,2018,21038,European,2
Vosa U,2018,22174,European,2
Vosa U,2018,21506,European,2
Vosa U,2018,31279,European,2
Vosa U,2018,20296,European,2
Vosa U,2018,24313,European,2
Vosa U,2018,25673,European,2
Vosa U,2018,21960,European,2
Vosa U,2018,25356,European,2
Vosa U,2018,7855,European,2
Vosa U,2018,24437,European,2
Vosa U,2018,25797,European,2
Vosa U,2018,12372,European,2
Vosa U,2018,29799,European,2
Vosa U,2018,26418,European,2
Vosa U,2018,28663,European,2
Vosa U,2018,28345,European,2
Vosa U,2018,23244,European,2
Vosa U,2018,25812,European,2
Vosa U,2018,30748,European,2
Vosa U,2018,25273,European,2
Vosa U,2018,24504,European,2
Vosa U,2018,24938,European,2
Vosa U,2018,8363,European,2
Vosa U,2018,30091,European,2
Vosa U,2018,30114,European,2
Vosa U,2018,24452,European,2
Vosa U,2018,29900,European,2
Vosa U,2018,29191,European,2
Vosa U,2018,30387,European,2
Vosa U,2018,29170,European,2
Vosa U,2018,13925,European,2
Vosa U,2018,30511,European,2
Vosa U,2018,23093,European,2
Vosa U,2018,14422,European,2
Vosa U,2018,30437,European,2
Vosa U,2018,30578,European,2
Vosa U,2018,29392,European,2
Vosa U,2018,24630,European,1
Vosa U,2018,19230,European,1
Vosa U,2018,24175,European,1
Vosa U,2018,5787,European,1
Vosa U,2018,5596,European,1
Vosa U,2018,22994,European,1
Vosa U,2018,5575,European,1
Vosa U,2018,15015,European,1
Vosa U,2018,9731,European,1
Vosa U,2018,21286,European,1
Vosa U,2018,19788,European,1
Vosa U,2018,10037,European,1
Vosa U,2018,21173,European,1
Vosa U,2018,26665,European,1
Vosa U,2018,16004,European,1
Vosa U,2018,20969,European,1
Vosa U,2018,19694,European,1
Vosa U,2018,27714,European,1
Vosa U,2018,16102,European,1
Vosa U,2018,9256,European,1
Vosa U,2018,17021,European,1
