mirna,present,mean_control_log2,mean_before_log2,mean_after_log2,delta_after_minus_before_log2,pvalue_paired_after_vs_before
hsa-miR-369-5p,True,1.7941596417916539,4.9204444774436995,2.835866890648731,-2.0845775867949685,0.019941829181072
hsa-miR-1268b,True,3.2224830630549848,1.482027543594883,2.468964641042365,0.986937097447482,0.23325821052391782
hsa-miR-145-5p,True,4.9123409529235476,3.0905329466518645,3.4943221057247174,0.40378915907285257,0.7558712617195318
hsa-miR-222-5p,True,1.4897297147830577,0.3327919387677595,2.126638936788364,1.793846998020605,0.01651422181091261
hsa-miR-4488,True,4.202054366994835,2.0404604781073084,2.4904216647018087,0.4499611865944999,0.5209066738392275
