mirna,contrast,test,n_group_a,n_group_b,log2fc,pvalue,padj,direction
novel_miR_1778,case_after_vs_control,welch_t,10,10,-2.242135731931393,0.0032487300602721987,0.1098070760372003,down_in_case_after
novel_miR_1782,case_after_vs_control,welch_t,10,10,-1.4354748566961553,0.060560336982642606,0.2130352741558968,down_in_case_after
novel_miR_1784,case_after_vs_control,welch_t,10,10,0.9678351601239383,0.14572179263031965,0.29070637551714695,up_in_case_after
novel_miR_1785,case_after_vs_control,welch_t,10,10,-0.7893118859202554,0.1388109169834657,0.28361539687640747,down_in_case_after
novel_miR_1786,case_after_vs_control,welch_t,10,10,-1.169517820446078,0.09301748429492206,0.2420105153204281,down_in_case_after
novel_miR_1787,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_1789,case_after_vs_control,welch_t,10,10,1.5201935721143063,0.0240882905210227,0.1619116345816469,up_in_case_after
novel_miR_179,case_after_vs_control,welch_t,10,10,-0.2830873595634788,0.34343639613791355,0.4192830305791041,down_in_case_after
novel_miR_180,case_after_vs_control,welch_t,10,10,-0.6899483708732793,0.23351099934600916,0.35476687586858174,down_in_case_after
novel_miR_1800,case_after_vs_control,welch_t,10,10,-1.6664886424941212,0.022972570025130184,0.15917888774561045,down_in_case_after
novel_miR_1802,case_after_vs_control,welch_t,10,10,-1.7360374673681946,0.007780070165785959,0.1307492123469469,down_in_case_after
novel_miR_1805,case_after_vs_control,welch_t,10,10,0.38092997246283833,0.4104427701649366,0.4765002915653778,up_in_case_after
novel_miR_1806,case_after_vs_control,welch_t,10,10,-0.13112603880573206,0.34343639613791355,0.4192830305791041,down_in_case_after
novel_miR_1807,case_after_vs_control,welch_t,10,10,-1.7099445060225797,0.014618797504871812,0.15110086718229826,down_in_case_after
novel_miR_1811,case_after_vs_control,welch_t,10,10,0.2475448825437523,0.7522413454608118,0.7854382274317213,up_in_case_after
novel_miR_1813,case_after_vs_control,welch_t,10,10,-0.8992708221619067,0.21064316117287196,0.3350539159479278,down_in_case_after
novel_miR_1816,case_after_vs_control,welch_t,10,10,-0.8777632590370754,0.23917559156170878,0.3586459537360654,down_in_case_after
novel_miR_1819,case_after_vs_control,welch_t,10,10,1.3628741085036828,0.03773723042023159,0.18524125969765134,up_in_case_after
novel_miR_1822,case_after_vs_control,welch_t,10,10,-2.3027683348735186,0.04269273608793999,0.1908946861539306,down_in_case_after
novel_miR_1825,case_after_vs_control,welch_t,10,10,-0.9405324666149508,0.1649162557740947,0.3090541576302154,down_in_case_after
novel_miR_1826,case_after_vs_control,welch_t,10,10,-1.7785328232993285,0.045801213468524615,0.19530422471931363,down_in_case_after
novel_miR_1833,case_after_vs_control,welch_t,10,10,-0.7392644918842837,0.2950191791253787,0.4091532109089367,down_in_case_after
novel_miR_1834,case_after_vs_control,welch_t,10,10,-1.3673942281901417,0.04632800424648911,0.19573581794141648,down_in_case_after
novel_miR_1840,case_after_vs_control,welch_t,10,10,-0.8529701533098571,0.10295762276523668,0.2475586742505589,down_in_case_after
novel_miR_1841,case_after_vs_control,welch_t,10,10,0.6788922920426759,0.16848199568571992,0.3090541576302154,up_in_case_after
novel_miR_1848,case_after_vs_control,welch_t,10,10,-1.1607644493139777,0.039909674572282824,0.18827948096298655,down_in_case_after
novel_miR_1850,case_after_vs_control,welch_t,10,10,-1.9505305050898074,0.016675124067315205,0.15110086718229826,down_in_case_after
novel_miR_1856,case_after_vs_control,welch_t,10,10,-2.5426716833074483,0.018147218980073244,0.1513879948464135,down_in_case_after
novel_miR_186,case_after_vs_control,welch_t,10,10,-0.4149162632770308,0.1811574599193315,0.31124794175992954,down_in_case_after
novel_miR_1862,case_after_vs_control,welch_t,10,10,-0.1569757370514259,0.34343639613791366,0.4192830305791041,down_in_case_after
novel_miR_1863,case_after_vs_control,welch_t,10,10,-1.654415333170483,0.05406803252149258,0.20633058862234102,down_in_case_after
novel_miR_1870,case_after_vs_control,welch_t,10,10,-2.360003882927963,0.005019231748627474,0.12881993058907948,down_in_case_after
novel_miR_1871,case_after_vs_control,welch_t,10,10,-0.9218133806638248,0.22484783979267117,0.3486172928895544,down_in_case_after
novel_miR_1873,case_after_vs_control,welch_t,10,10,-1.6691346437912136,0.03718410490579344,0.1840535401822328,down_in_case_after
novel_miR_1880,case_after_vs_control,welch_t,10,10,-1.2147266354088218,0.10131257582321958,0.2450977038831672,down_in_case_after
novel_miR_1889,case_after_vs_control,welch_t,10,10,-0.84290415975313,0.22150118503340419,0.346548485101963,down_in_case_after
novel_miR_1892,case_after_vs_control,welch_t,10,10,0.6306647879624402,0.09562226232027064,0.24292232642696254,up_in_case_after
novel_miR_1897,case_after_vs_control,welch_t,10,10,-1.299812064983672,0.04132452259604455,0.1902214405880183,down_in_case_after
novel_miR_1898,case_after_vs_control,welch_t,10,10,-1.0845310900010965,0.15663261691248748,0.30137691672609235,down_in_case_after
novel_miR_1902,case_after_vs_control,welch_t,10,10,-0.6279002156572584,0.3510096883523596,0.425891755200863,down_in_case_after
novel_miR_1904,case_after_vs_control,welch_t,10,10,-1.269081581484536,0.07894829140751962,0.2261400211503528,down_in_case_after
novel_miR_1905,case_after_vs_control,welch_t,10,10,-1.4569999129359652,0.02254101951664988,0.15872634576307626,down_in_case_after
novel_miR_1907,case_after_vs_control,welch_t,10,10,-1.3010548560753115,0.09459109051572805,0.2420105153204281,down_in_case_after
novel_miR_1911,case_after_vs_control,welch_t,10,10,-1.1828335567376371,0.1326870882958267,0.2750132356223266,down_in_case_after
novel_miR_1916,case_after_vs_control,welch_t,10,10,-1.5271973681296358,0.059891374780934224,0.2130352741558968,down_in_case_after
novel_miR_1917,case_after_vs_control,welch_t,10,10,-2.0140383724791655,0.010086601360994471,0.13224644215417286,down_in_case_after
